,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
0,the,DET,DT,0,1,-1.3096,-6.3922,1,
1,majority,NOUN,NN,4,2,-4.0985,-4.4383,1, 
2,of,ADP,IN,13,3,-1.6306,-4.3622,1, 
3,hunter,NOUN,NN,16,4,-4.9785,-7.0120,1, 
4,-,PUNCT,HYPH,22,5,-4.6684,-50,1,
5,gatherer,NOUN,NN,23,6,-6.8124,-50,1,
6,society,NOUN,NNS,32,7,-4.4597,-50,1, 
7,be,AUX,VBP,42,8,-2.4237,-5.8633,1, 
8,nomadic,ADJ,JJ,46,9,-5.6728,-7.7901,1, 
9,.,PUNCT,.,53,10,-1.4170,-7.0911,1,
10,it,PRON,PRP,55,11,-2.0678,-6.3669,2, 
11,be,AUX,VBZ,58,12,-2.0970,-2.9362,2, 
12,difficult,ADJ,JJ,61,13,-3.7563,-4.6640,2, 
13,to,PART,TO,71,14,-1.6934,-4.0959,2, 
14,be,AUX,VB,74,15,-2.2772,-2.8139,2, 
15,settle,VERB,VBN,77,16,-4.4894,-5.6829,2, 
16,under,ADP,IN,85,17,-3.3126,-7.6140,2, 
17,such,DET,PDT,91,18,-3.2163,-5.7648,2, 
18,a,DET,DT,96,19,-1.7608,-3.7995,2, 
19,subsistence,NOUN,NN,98,20,-5.4379,-6.5597,2, 
20,system,NOUN,NN,110,21,-3.4458,-50,2, 
21,as,SCONJ,IN,117,22,-2.3737,-5.4638,2, 
22,the,DET,DT,120,23,-1.3096,-3.3678,2, 
23,resource,NOUN,NNS,124,24,-4.0726,-5.0671,2, 
24,of,ADP,IN,134,25,-1.6306,-5.3571,2, 
25,one,NUM,CD,137,26,-2.6369,-4.2231,2, 
26,region,NOUN,NN,141,27,-4.0966,-6.3429,2, 
27,can,AUX,MD,148,28,-2.7245,-6.6762,2, 
28,quickly,ADV,RB,152,29,-4.0178,-6.0497,2, 
29,become,VERB,VB,160,30,-3.6177,-6.2219,2, 
30,exhaust,ADJ,JJ,167,31,-4.9441,-7.1369,2, 
31,.,PUNCT,.,176,32,-1.4170,-5.6550,2,
32,Hunter,NOUN,NN,178,33,-4.9785,-50,3, 
33,-,PUNCT,HYPH,184,34,-4.6684,-50,3,
34,gatherer,NOUN,NN,185,35,-6.8124,-50,3,
35,society,NOUN,NNS,194,36,-4.4597,-50,3, 
36,also,ADV,RB,204,37,-2.9993,-7.0911,3, 
37,tend,VERB,VBP,209,38,-4.3023,-6.0783,3, 
38,to,PART,TO,214,39,-1.6934,-4.3356,3, 
39,have,VERB,VB,217,40,-2.4270,-3.4448,3, 
40,very,ADV,RB,222,41,-3.0135,-5.2890,3, 
41,low,ADJ,JJ,227,42,-3.8696,-5.1607,3, 
42,population,NOUN,NN,231,43,-3.9769,-6.7294,3, 
43,density,NOUN,NNS,242,44,-5.6333,-6.6598,3, 
44,as,ADP,IN,252,45,-2.3737,-50,3, 
45,a,DET,DT,255,46,-1.7608,-3.1573,3, 
46,result,NOUN,NN,257,47,-3.7500,-4.1514,3, 
47,of,ADP,IN,264,48,-1.6306,-4.1302,3, 
48,they,PRON,PRP$,267,49,-2.6853,-3.6524,3, 
49,subsistence,NOUN,NN,273,50,-5.4379,-7.2460,3, 
50,system,NOUN,NN,285,51,-3.4458,-50,3, 
