,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
51,.,PUNCT,.,291,52,-1.4170,-4.2847,3,
52,agricultural,ADJ,JJ,293,53,-4.4872,-50,4, 
53,subsistence,NOUN,NN,306,54,-5.4379,-50,4, 
54,system,NOUN,NNS,318,55,-3.8567,-50,4, 
55,can,AUX,MD,326,56,-2.7245,-5.8980,4, 
56,support,VERB,VB,330,57,-3.6203,-5.9450,4, 
57,population,NOUN,NN,338,58,-3.9769,-50,4, 
58,density,NOUN,NNS,349,59,-5.6333,-6.6598,4, 
59,60,NUM,CD,359,60,-4.4769,-50,4, 
60,to,ADP,IN,362,61,-1.6934,-6.2161,4, 
61,100,NUM,CD,365,62,-4.2514,-5.8101,4, 
62,time,NOUN,NNS,369,63,-3.6252,-6.2278,4, 
63,great,ADJ,JJR,375,64,-3.9065,-6.0699,4, 
64,than,ADP,IN,383,65,-3.0880,-4.8679,4, 
65,land,NOUN,NN,388,66,-3.7703,-7.1880,4, 
66,leave,VERB,VBN,393,67,-3.4365,-7.1369,4, 
67,uncultivated,ADJ,JJ,398,68,-6.5597,-7.6140,4, 
68,",",PUNCT,",",410,69,-1.3899,-7.6140,4,
69,result,VERB,VBG,412,70,-4.5901,-5.3429,4, 
70,in,ADP,IN,422,71,-1.8251,-5.1561,4, 
71,denser,ADJ,JJR,425,72,-6.0699,-50,4, 
72,population,NOUN,NNS,432,73,-4.9221,-50,4, 
73,.,PUNCT,.,443,74,-1.4170,-5.7487,4,
74,Hunter,NOUN,NN,445,75,-4.9785,-50,5, 
75,-,PUNCT,HYPH,451,76,-4.6684,-50,5,
76,gatherer,NOUN,NN,452,77,-6.8124,-50,5,
77,society,NOUN,NNS,461,78,-4.4597,-50,5, 
78,also,ADV,RB,471,79,-2.9993,-7.0911,5, 
79,tend,VERB,VBP,476,80,-4.3023,-6.0783,5, 
80,to,PART,TO,481,81,-1.6934,-4.3356,5, 
81,have,VERB,VB,484,82,-2.4270,-3.4448,5, 
82,non,ADJ,JJ,489,83,-5.1326,-50,5, 
83,-,PUNCT,HYPH,492,84,-4.6684,-50,5,
84,hierarchical,ADJ,JJ,493,85,-5.2816,-50,5,
85,social,ADJ,JJ,506,86,-3.4716,-7.7901,5, 
86,structure,NOUN,NNS,513,87,-4.4413,-6.1044,5, 
87,",",PUNCT,",",523,88,-1.3899,-5.3604,5,
88,though,SCONJ,IN,525,89,-3.5682,-3.8388,5, 
89,this,PRON,DT,532,90,-2.4337,-5.3130,5, 
90,be,AUX,VBZ,537,91,-2.0970,-3.3948,5, 
91,not,PART,RB,540,92,-2.4383,-3.4415,5, 
92,always,ADV,RB,544,93,-3.4434,-4.5915,5, 
93,the,DET,DT,551,94,-1.3096,-5.0182,5, 
94,case,NOUN,NN,555,95,-3.4614,-3.8991,5, 
95,.,PUNCT,.,559,96,-1.4170,-4.5176,5,
96,because,SCONJ,IN,561,97,-3.1711,-7.7901,6, 
97,hunter,NOUN,NN,569,98,-4.9785,-50,6, 
98,-,PUNCT,HYPH,575,99,-4.6684,-50,6,
99,gatherer,NOUN,NNS,576,100,-6.3669,-50,6,
100,tend,VERB,VBP,586,101,-4.3023,-50,6, 
101,to,PART,TO,591,102,-1.6934,-4.3356,6, 
102,be,AUX,VB,594,103,-2.2772,-2.8139,6, 
103,nomadic,ADJ,JJ,597,104,-5.6728,-7.7901,6, 
104,",",PUNCT,",",604,105,-1.3899,-7.0497,6,
105,they,PRON,PRP,606,106,-2.4674,-3.4631,6, 
106,generally,ADV,RB,611,107,-4.0321,-6.0537,6, 
107,do,AUX,VBP,621,108,-2.6585,-6.4099,6, 
108,not,PART,RB,624,109,-2.4383,-3.7651,6, 
109,have,VERB,VB,628,110,-2.4270,-4.0971,6, 
110,the,DET,DT,633,111,-1.3096,-3.9610,6, 
111,possibility,NOUN,NN,637,112,-4.2463,-4.4452,6, 
112,to,PART,TO,649,113,-1.6934,-6.5114,6, 
113,store,VERB,VB,652,114,-4.4540,-5.4587,6, 
114,surplus,NOUN,NN,658,115,-4.7775,-50,6, 
115,food,NOUN,NN,666,116,-3.8196,-7.0497,6, 
116,.,PUNCT,.,670,117,-1.4170,-4.8069,6,
117,as,ADP,IN,672,118,-2.3737,-7.7901,7, 
118,a,DET,DT,675,119,-1.7608,-3.1573,7, 
119,result,NOUN,NN,677,120,-3.7500,-4.1514,7, 
120,",",PUNCT,",",683,121,-1.3899,-4.7934,7,
121,full,ADJ,JJ,685,122,-3.6507,-5.1245,7, 
122,-,PUNCT,HYPH,689,123,-4.6684,-50,7,
123,time,NOUN,NN,690,124,-2.9144,-50,7,
124,leader,NOUN,NNS,695,125,-4.2338,-50,7, 
125,",",PUNCT,",",702,126,-1.3899,-5.2225,7,
126,bureaucrats,NOUN,NNS,704,127,-5.4001,-6.7487,7, 
127,",",PUNCT,",",715,128,-1.3899,-6.1773,7,
128,or,CCONJ,CC,717,129,-2.5287,-3.3448,7, 
129,artisan,NOUN,NNS,720,130,-5.7370,-7.4891,7, 
130,be,AUX,VBP,729,131,-2.4237,-7.6140,7, 
131,rarely,ADV,RB,733,132,-4.4770,-5.5700,7, 
132,support,VERB,VBN,740,133,-4.3393,-50,7, 
133,by,ADP,IN,750,134,-2.3879,-4.6953,7, 
134,hunter,NOUN,NN,753,135,-4.9785,-7.0497,7, 
135,-,PUNCT,HYPH,759,136,-4.6684,-50,7,
136,gatherer,NOUN,NN,760,137,-6.8124,-50,7,
137,society,NOUN,NNS,769,138,-4.4597,-50,7, 
138,.,PUNCT,.,778,139,-1.4170,-5.3188,7,
